claim_id,area,outlet,event_type,status,location_precision,location_conflict,claim,quote,url,human_verdict
b943f7f4eddd9b51,Japantown,hoodline.com,announced_policy,refuted,point,,"City staff approved a Planned Development Permit for the project at a Director Hearing on Wednesday (July 10, 2026).",city staff approved a Planned Development Permit for the project at a Director Hearing on Wednesday.,https://hoodline.com/2026/07/san-jose-gives-japantown-housing-nod-with-taiko-beats-built-in/,
b9cabcd86e148db4,Japantown,hoodline.com,announced_development,refuted,point,,The project includes one level of underground parking and removal of a single ordinance-size tree.,"The application calls for one level of underground parking, removal of a single ordinance-size tree and permission for extended construction hours on certain Saturdays.",https://hoodline.com/2026/07/san-jose-gives-japantown-housing-nod-with-taiko-beats-built-in/,
2b9c822d139dba80,Japantown,hoodline.com,announced_development,refuted,point,,"The project includes a separate taiko building of approximately 4,017 square feet.","The proposal also features a separate taiko building of about 4,017 square feet.",https://hoodline.com/2026/07/san-jose-gives-japantown-housing-nod-with-taiko-beats-built-in/,
6b65115cf5fb075c,Japantown,hoodline.com,announced_development,refuted,point,,"San Jose approved a six-story mixed-use complex in Japantown with 65 apartments, a taiko performance studio, and 14,000 square feet of commercial space.","San Jose has signed off on a six-story mixed-use complex in Japantown that would pair 65 apartments with a dedicated taiko performance studio and roughly 14,000 square feet of ground-floor commercial space.",https://hoodline.com/2026/07/san-jose-gives-japantown-housing-nod-with-taiko-beats-built-in/,
89b1112075bd2681,Mission,sfyimby.com,announced_development,claimed,point,,Plans have surfaced to convert a small residential property at 2401 16th Street in the Mission District by replacing a vacant ground-floor restaurant space with two additional residential units.,Plans have surfaced to convert a small residential property at 2401 16th Street in San Francisco's Mission District neighborhood. The proposal would replace a vacant ground-floor restaurant space in the apartment complex with two additional residential units.,https://sfyimby.com/2026/07/plans-surface-for-residential-conversion-at-2401-16th-street-san-francisco.html,
a90a783843e72ebd,Mission,therealdeal.com,announced_development,claimed,neighborhood,,The Mission Economic Development Agency and Mission Housing is planning a 350-unit affordable housing development above the 16th Street BART station.,"The Mission Economic Development Agency and Mission Housing is planning a 350-unit affordable housing development, derided by critics as [""The Monster in the Mission,""] above the 16th Street BART station",https://therealdeal.com/san-francisco/2026/07/01/wong-logan-proposes-apartments-in-san-francisco-mission/,
c654395df6037744,Mission,therealdeal.com,announced_development,claimed,point,,"Developer Hawk Ling Lou is advancing a project at 2588 Mission Street that calls for a 10-story, 181-unit complex to replace a three-story building burned by a fire in 2015.","developer Hawk Ling Lou is advancing a project at 2588 Mission Street that calls for a 10-story, 181-unit complex to replace a three-story building burned by a fire in 2015",https://therealdeal.com/san-francisco/2026/07/01/wong-logan-proposes-apartments-in-san-francisco-mission/,
e517acf00aa1ddc9,Mission,therealdeal.com,announced_development,claimed,point,,"Wong Logan Architects submitted a new application for Trigona, a six-story, 20-unit multifamily project at 3230 24th Street in the Mission District.","The firm submitted a new application for Trigona, a six-story, 20-unit project at 3230 24th Street featuring some affordable units",https://therealdeal.com/san-francisco/2026/07/01/wong-logan-proposes-apartments-in-san-francisco-mission/,
aa1d0e4b86906975,Japantown,sfist.com,business_close,claimed,,,Several Japantown businesses negotiated lower rents with property owners during the pandemic through collective bargaining to avoid being forced out.,"Supporters pointed to Japantown, where several businesses negotiated lower rents with property owners during the pandemic through collective bargaining. Jon Osaki of the Japanese Community Youth Council told KQED the effort helped keep longtime neighborhood businesses from being forced out when many couldn't operate normally.",https://sfist.com/2026/07/20/sf-supe-introduces-bills-letting-small-businesses-negotiate-rent-sell-to-employees/,
c4cf082a2796a327,Japantown,sfist.com,policy,claimed,,,Collective bargaining practices for commercial tenant unions have been used in Japantown commercial corridors.,"The measure would formalize a practice that's already been used in some commercial corridors, including Japantown, by requiring landlords to recognize tenant unions during lease negotiations.",https://sfist.com/2026/07/20/sf-supe-introduces-bills-letting-small-businesses-negotiate-rent-sell-to-employees/,
3903115c26f71876,Bayview Hunters Point,missionlocal.org,policy,claimed,,,Nine Bayview businesses were awarded Storefront Opportunity Grants from the city's Office of Economic & Workforce Development.,Chapter 3 is one of nine Bayview businesses awarded Storefront Opportunity Grants this year from the city's Office of Economic & Workforce Development.,https://missionlocal.org/2026/07/bayview-buzz-wine-bar-city-grant-oewd-vacant-storefront-properly-seasoned/,
feb55227918518c7,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,Properly Seasoned Kitchen is expected to open in mid-September at 5131 Third Street at the former Golden City Inn Chinese Cuisine restaurant space.,"adding that he expects to open in mid-September. The Office of Economic and Workforce Development ushered McGrath through the granting process and worked closely with him to connect him to local tradesmen to remodel what was the former restaurant space of Golden City Inn Chinese Cuisine at 5131 Third Street, at Third Street and Shafter Avenue.",https://missionlocal.org/2026/07/bayview-buzz-wine-bar-city-grant-oewd-vacant-storefront-properly-seasoned/,
8f796f9c8f86d150,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,"Chapter 3, a bookstore and cafe, is planned to open at 4512 3rd Street in Bayview-Hunters Point, taking over a former MetroPCS storefront.","Lee recently filed a permit application to open Chapter 3, a bookstore and cafe, at 4512 3rd Street, between La Salle Avenue and Third Street. The hybrid cafe and bookstore will take over a former MetroPCS storefront, which closed shortly after the pandemic.",https://missionlocal.org/2026/07/bayview-buzz-wine-bar-city-grant-oewd-vacant-storefront-properly-seasoned/,
22c0d00a75b3cab5,Bayview Hunters Point,missionlocal.org,business_close,claimed,,,"Just A Touch Christian Bookstore, the last bookstore in Bayview-Hunters Point, closed more than two years ago after struggling to recover from the COVID-19 pandemic.","The last bookstore in Bayview-Hunters Point, Just A Touch Christian Bookstore, closed more than two years ago after the store struggled to recover from the COVID-19 pandemic",https://missionlocal.org/2026/07/bayview-buzz-wine-bar-city-grant-oewd-vacant-storefront-properly-seasoned/,
d1d6259174251343,Bayview Hunters Point,missionlocal.org,business_close,claimed,,,Bayview lost both its main grocery store and its last pharmacy in 2025.,The neighborhood lost both its main grocery store and its last pharmacy in 2025.,https://missionlocal.org/2026/07/bayview-walgreens-autozone-planning-commission/,
fa344d7fc45be585,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,A bookstore has recently moved into Bayview's commercial corridor.,"Multiple new businesses have recently moved into Bayview's commercial corridor, including new restaurants and soon, a highly anticipated bookstore.",https://missionlocal.org/2026/07/bayview-walgreens-autozone-planning-commission/,
7ea8f204720e5db8,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,A nonprofit pharmacy is expected to soon open in Bayview to replace the shuttered Walgreens.,A nonprofit pharmacy is also expected to soon open in Bayview to replace the shuttered Walgreens.,https://missionlocal.org/2026/07/bayview-walgreens-autozone-planning-commission/,
b60fd92f7df82a93,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,AutoZone will take over the former Walgreens location at 5300 Third Street in Bayview following planning commission approval.,the San Francisco planning commission on Thursday approved a hotly debated proposal for AutoZone to take over a now-closed Walgreens in Bayview,https://missionlocal.org/2026/07/bayview-walgreens-autozone-planning-commission/,
1810e9c8f4fbc014,Bayview Hunters Point,missionlocal.org,business_close,claimed,,,Walgreens closed at 5300 Third Street in Bayview in 2025.,"Walgreens occupied the space at 5300 Third St. until 2025, when a slew of the pharmacies closed across the city",https://missionlocal.org/2026/07/bayview-walgreens-autozone-planning-commission/,
c338ce8bf28a6155,Bayview Hunters Point,missionlocal.org,other,claimed,,,The Southeast Community Center moved from Oakdale to Evans in 2022.,the Southeast Community Center moved from Oakdale to Evans in 2022,https://missionlocal.org/2026/07/after-years-of-debate-s-f-agency-settles-on-spot-for-future-bayview-caltrain-station/,
596c23a57624cf1d,Bayview Hunters Point,missionlocal.org,transit,claimed,,,The Paul Avenue Caltrain station in Bayview closed in 2005 due to extremely low ridership and its isolated location.,"Once built, it would be the first time Bayview has had a Caltrain station since the Paul Avenue station closed in 2005 due to extremely low ridership and its isolated location.",https://missionlocal.org/2026/07/after-years-of-debate-s-f-agency-settles-on-spot-for-future-bayview-caltrain-station/,
10f3d16ec1e4598f,Bayview Hunters Point,missionlocal.org,transit,claimed,,,San Francisco officials have selected Oakdale Avenue and Third Street as the location for a future Caltrain station in Bayview.,San Francisco officials have landed on a spot for a future Caltrain station in Bayview: Oakdale Avenue and Third Street.,https://missionlocal.org/2026/07/after-years-of-debate-s-f-agency-settles-on-spot-for-future-bayview-caltrain-station/,
7277be21959ec585,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,"After being without a pharmacy for over one year, Bayview is getting a new pharmacy.","After a year without a pharmacy, Bayview is finally getting one",https://missionlocal.org/bayview/,
19ab87b93f848403,Bayview Hunters Point,missionlocal.org,transit,claimed,,,"The T-Third line, which runs through Bayview-Hunters Point, will be out of service for 2 weekends for repairs, the first since 2007.","Bayview T-line out of service for 2 weekends for fixes, replaced by buses",https://missionlocal.org/bayview/,
5489866fb44b424c,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,"Chapter 3, a new Black-owned bookstore, will replace a shuttered Bayview storefront by the end of the year.","Chapter 3, new Black-owned bookstore, to replace shuttered Bayview storefront",https://missionlocal.org/bayview/,
1446dde0713ad91d,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,An old Bayview Walgreens building was approved to be converted into an AutoZone.,S.F. approves contentious proposal to turn old Bayview Walgreens into an AutoZone,https://missionlocal.org/bayview/,
81bd729ff894bfda,Bayview Hunters Point,missionlocal.org,policy,claimed,,,"In July 2025, officials from multiple San Francisco departments arrived at Alice Griffith and found code violations.","In July 2025, officials from the San Francisco Police Department, the Department of Public Health, the Department of Building Inspection, the City Attorney's Office, and the San Francisco Planning Department arrived at Alice Griffith.",https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
edcb9b1914a142a3,Bayview Hunters Point,missionlocal.org,policy,claimed,,,"District 10 Supervisor Shamann Walton held a hearing on April 7, 2025 regarding Alice Griffith's neglect.","District 10 Supervisor Shamann Walton summoned the building's owner and property manager to another hearing on April 7, 2025.",https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
b9fdfeb4f5bc01b6,Bayview Hunters Point,missionlocal.org,policy,claimed,,,"The Mayor's Office of Housing and Community Development granted McCormack Baron Salazar a $500,000 loan in February 2025 to address habitability issues.","In February 2025, the mayor's office granted the loan.",https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
eaf3af96a706ba21,Bayview Hunters Point,missionlocal.org,other,claimed,,,The Department of Public Health cited Alice Griffith for garbage rooms overflowing with trash due to broken garbage chutes.,the first as early as August 2020 for garbage rooms overflowing with trash due to broken garbage chutes.,https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
64f684758d0b8b97,Bayview Hunters Point,missionlocal.org,construction,claimed,,,McCormack Baron Salazar was chosen in 2010 to take ownership of four new residential buildings to be erected at Alice Griffith on Arelious Walker Drive.,"McCormack Baron Salazar was chosen in 2010 to take ownership of the four new residential buildings to be erected on Arelious Walker Drive, down the hill from the rapidly decaying public housing development.",https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
cf16362bc3305f8b,Bayview Hunters Point,missionlocal.org,housing,claimed,,,Most of the 338 units at Alice Griffith were occupied by 2019.,"By 2019, most of the 338 units were occupied.",https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
0a33e962abb6fff9,Bayview Hunters Point,missionlocal.org,housing,claimed,,,New tenants began moving into Alice Griffith Apartments.,New tenants began moving in during 2017.,https://missionlocal.org/2026/07/alice-griffith-bayview-san-francisco-public-housing-redevelopment/,
dc9b9f8c04cae896,Mission,missionlocal.org,policy,claimed,,,"Supervisor Fielder proposes reducing the required number of affordable units in market rate housing projects in the Mission District to eight percent, down from the current 17 percent.",Fielder proposes eight percent for the Mission District. That is down from the current 17 percent in the Mission,https://missionlocal.org/2026/07/bernal-neighbors-welcome-fielder-at-first-town-hall-since-her-return/,
c269c7261c260d2e,Mission,missionlocal.org,housing,claimed,,,An affordable housing project is located at 3333 Mission Street.,The location of a new affordable housing project at 3333 Mission Street,https://missionlocal.org/2026/07/san-francisco-planning-commission-streamlining/,
261a1db0b6df6ff7,Mission,missionlocal.org,housing,claimed,,,A six-story wedge-shaped apartment building is proposed in the Mission District.,the six-story wedge-shaped apartment building in the Mission District,https://missionlocal.org/2026/07/san-francisco-planning-commission-streamlining/,
c8ec5df0d756ba4c,Bayview Hunters Point,missionlocal.org,business_open,claimed,,,An old Bayview Walgreens is being converted into an AutoZone.,S.F. approves contentious proposal to turn old Bayview Walgreens into an AutoZone,https://missionlocal.org/mission/,
b5b3479a69ab00b9,Mission,missionlocal.org,other,claimed,,,A group of artists will restore murals at Balmy Alley with a new grant.,"With a new grant, a group of artists will return to Balmy Alley to restore some of their old murals",https://missionlocal.org/mission/,
bf27623260e182cc,Mission,missionlocal.org,business_close,claimed,,,There are business closures on Valencia and Mission streets.,"Also, there are business closures on Valencia and Mission streets",https://missionlocal.org/mission/,
94c01031040a45d2,Mission,missionlocal.org,business_open,claimed,,,Panchitas is expanding in the Mission.,Panchitas is expanding and a Michelin Guide restaurant is leaving the Mission,https://missionlocal.org/mission/,
1325c65e86104f13,Mission,missionlocal.org,business_close,claimed,,,The Make-Out Room is for sale.,The Make-Out Room and the Latin American Club are for sale,https://missionlocal.org/mission/,
ad11bfc523a84554,Mission,missionlocal.org,crime,claimed,,,Eight people were injured in a crash in the Mission District.,"8 injured in Mission District crash, SFPD arrests driver",https://missionlocal.org/mission/,
367f9cd188ada6c3,Mission,missionlocal.org,business_close,claimed,,,The Mission is losing a plant store.,The Mission is losing a plant store and a panaderia is on the move,https://missionlocal.org/mission/,
fb9eef0ffcdd04d0,Mission,missionlocal.org,policy,claimed,,,The inclusionary housing rate for the Mission District was reduced from 17 percent to 8 percent.,"Up until today, the rate — called the ""inclusionary housing"" rate — was 15 percent citywide, with an exception for the Mission District, which stood at 17 percent.",https://missionlocal.org/2026/07/sf-inclusionary-rate-five-percent/,
403312004654f1b2,Mission,missionlocal.org,construction,claimed,,,Construction for new housing was occurring at 16th Street and Mission Street.,"A crane on 16th Street and Mission Street in the midst of construction for new housing taken on May 22, 2026.",https://missionlocal.org/2026/07/sf-inclusionary-rate-five-percent/,
